Primerjava — D02_high_eta_mid
=============================
Količina           Enota     Analit.       FEMM       Δ%
--------------------------------------------------------
U_ind (RMS)        V         200.000    196.073    -2.0
B_max v zobu       T           1.682      1.486   -11.7
B_max v jarmu      T           1.014      0.912   -10.1
Nazivni navor      Nm         68.209     60.747   -10.9
P_Fe (zobje)       W         513.165    394.959   -23.0
P_Fe (jarem)       W         325.613    259.119   -20.4
P_Fe (skupno)      W         838.779    654.077   -22.0
Izkoristek η       %          96.693     97.040    +0.4
