design_id,D_r_mm,L_r_mm,D_se_mm,q,Q_s,N_s,N_r,I_n_A,I_m_A,P_Fe_W,P_Cu_W,eta_analit,V_active_cm3,selected_as
P076,157.6034243196935,63.241453496593266,265.2102092365067,2.0,36,48,52,92.33610341643585,24.01962734099103,740.961334459771,1212.5345854209543,0.9623991439788137,3493.592130135403,
P077,148.38480092537992,59.53101868825205,251.28049651104394,2.0,36,54,52,92.33610341643585,26.961169346388623,814.251398821621,1344.621616207451,0.9586096690699776,2952.2338712515384,
P078,181.34640537081378,72.60777716034802,289.69297424886264,2.0,36,42,63,92.33610341643585,16.60024787741193,839.8272720101857,871.1607860594202,0.9669124856761927,4785.738318836888,
P079,169.3849718916725,67.89367782653346,287.0216043474389,2.0,36,48,53,92.33610341643585,22.738652367785043,814.9694216122662,959.2294227124843,0.9657319884435211,4392.870411628188,
P080,157.6034243196935,63.155053294499055,265.12757817351394,2.0,36,48,52,92.33610341643585,23.881316448106837,739.801169593283,1214.0240989406152,0.9623930430832541,3486.64552813385,
P081,148.3264925404634,59.489292857071206,252.4663061641075,2.0,36,54,68,92.33610341643585,20.662620200124525,791.3090153888758,1357.8963254415728,0.9587873808088938,2978.074375388831,
P082,194.3908803278525,77.91083637192857,297.2175302816916,2.0,36,36,69,92.33610341643585,11.853006785474943,887.2079490643137,764.7341860408751,0.9680178117836455,5405.508941816191,
P083,171.4667729411628,68.73385819636735,270.3490908227527,2.0,36,42,52,92.33610341643585,19.609178410763455,762.046012333935,1080.030315652191,0.9644675433844128,3945.576159189587,
P084,134.69327534340414,54.05179252902382,251.21104641247788,2.0,36,72,64,92.33610341643585,32.16723461045677,695.5982812544079,1753.3093502135748,0.953308700942349,2679.029202359244,
P085,157.82703645171108,63.330748512913665,268.77662017343573,2.0,36,48,53,92.33610341643585,23.442365214485918,754.5627674547782,1169.007747918692,0.9629538089102725,3593.2503726593536,
P086,159.14614297686393,63.79356127208689,258.03619704685536,2.0,36,48,52,92.33610341643585,23.15901421667021,716.4777915162834,1285.5239037114084,0.9615014493680265,3336.0149935198015,
P087,197.27672057386656,79.21111965322328,309.84087764121705,2.0,36,42,68,92.33610341643585,14.862761341440287,870.2914665391137,769.6106786117946,0.9682435078877294,5972.462915100115,
P088,156.74780787414235,62.93317556266834,247.57324551112865,2.0,36,48,53,92.33610341643585,23.667315459429286,801.4862834105793,1323.580706198065,0.9592313811312264,3029.541791710532,
P089,157.89012553208184,63.356064065766326,258.0925326032221,2.0,36,48,52,92.33610341643585,23.855014262617853,728.9344693657624,1280.740776277275,0.9613595886505484,3314.583386284617,
P090,148.3264925404634,59.452845428799016,251.96008323967612,2.0,36,54,68,92.33610341643585,21.102265085994635,791.0985259977912,1360.1424540684914,0.9587499560961827,2964.3263369375404,
P091,168.11182776074307,67.36632643377263,269.06391520539546,2.0,36,42,64,92.33610341643585,17.331772255865253,801.8757820003805,1071.8574566645182,0.9638789591247641,3830.395880002502,
P092,168.5251401093793,67.53458321959154,269.6322982680107,2.0,36,42,53,92.33610341643585,20.485213077601195,772.2226045006769,1094.3389892382352,0.9640122356989974,3856.2033931918736,
P093,157.82703645171108,63.330748512913665,252.21860972735465,2.0,36,48,53,92.33610341643585,23.442599289209387,839.4724940433796,1233.4261222754046,0.9601923712449305,3164.1623404773068,
P094,168.55340895996025,67.57259837342468,278.6886230035034,2.0,36,42,52,92.33610341643585,20.886542623382088,838.0629505049311,968.8163773018525,0.9651227915819095,4121.914509182041,
P095,156.7607586012489,62.9022492135501,255.789269830234,2.0,36,48,51,92.33610341643585,25.339149548845135,706.4352241032104,1342.2001298974267,0.9606399795101799,3232.3672706699726,
P096,168.55340895996025,67.57259837342468,278.41594635228773,2.0,36,42,52,92.33610341643585,20.886542623382088,843.7965454101592,968.8163773018525,0.9650159908859286,4113.852465019221,
P097,167.9117718764039,67.28615937956292,269.1255360933446,2.0,36,42,64,92.33610341643585,17.41387943749467,803.642544386135,1071.9094065957331,0.9638451663559336,3827.5902285412344,
P098,157.88661493702367,63.338451522478955,248.89342946589716,2.0,36,48,64,92.33610341643585,19.119599750655503,816.2237200567508,1286.0103329978228,0.9596517483124828,3081.6562069119686,
P099,157.3590774161197,63.11218298472371,246.20103292586415,2.0,36,48,52,92.33610341643585,24.56929340504266,793.544329258614,1348.947087722942,0.9589108353137918,3004.5734475810073,low_eta_mid
