Primerjava — D01_max_eta
========================
Količina           Enota     Analit.       FEMM       Δ%
--------------------------------------------------------
U_ind (RMS)        V         200.000    211.764    +5.9
B_max v zobu       T           1.517      1.451    -4.3
B_max v jarmu      T           1.019      0.978    -4.1
Nazivni navor      Nm         68.209     63.673    -6.7
P_Fe (zobje)       W         524.496    477.530    -9.0
P_Fe (jarem)       W         356.087    325.572    -8.6
P_Fe (skupno)      W         880.583    803.101    -8.8
Izkoristek η       %          96.835     96.981    +0.2
